id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
78a41de4feac3de7,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-01-11 06:14:43,0,0
02032ef6f2f533b1,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-01-02 02:43:16,0,0
ea1a6f7b6b3ed918,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-01-02 02:43:16,0,0
150c4dc5147c522e,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-01-02 02:43:15,0,0
3eb53c57fffc4bfc,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-12-07 23:11:12,0,0
4796856bd44ab5a0,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-27 05:43:32,0,0
0946bc89a62ab7ac,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:29:15,0,0
ed97fe6e76fb845b,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:29:15,0,0
dabcff887463c30e,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:29:15,0,0
2371958dbb7aa8aa,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:28:56,0,0
6b10ddb7b87e2675,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:28:56,0,0
f933d8159749b68c,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:28:54,0,0
1ea33da06191d83e,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:28:54,0,0
8a4451b6a65c81ee,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:28:54,0,0
d88f875d73202ec1,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:28:45,0,0
2d37877335f0918b,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-11-12 18:28:34,0,0
5e9417bae4c1b8d2,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-09-10 02:14:09,0,0
4db66970964e9d5a,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-09-10 02:13:59,0,0
11c293fd64b65f2b,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-08-19 02:49:50,0,0
43165fa185c319f3,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-08-19 02:49:50,0,0
4fa12886e81c0b80,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-08-19 02:49:50,0,0
0d68e4b0beefd605,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-07-01 20:55:15,0,0
61b8f35ad9544032,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-07-01 20:55:15,0,0
eca097679fdbb65b,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-06-24 19:05:36,0,0
de2fdda1a035b570,Top of Outlook data file/Contacts/Recipient Cache,,,,2018-06-24 19:05:21,0,0
